Timestamp,Title,Duration,Duration (s),Type,Movie ID,Top Node ID,Device Type,Country
2020-05-04T01:30:59.517Z,100 Humans - Season 1: 'What Makes Us Attractive?',38:10,2290,Serie,80243481,80215997,1223,BR
2020-05-16T02:04:20.712Z,18 Presents,01:54:24,6864,Movie,81261846,81261846,1223,BR
2019-03-16T18:18:02.049Z,A boyfriend for my wife,01:46:03,6363,Movie,81004557,81004557,770,BR
2020-01-03T23:52:18.323Z,A United Kingdom,01:50:51,6651,Movie,80147985,80147985,1109,BR
